scope,instance,test,reference,comparison,statistic,p_value,p_value_holm,alpha,reject_null,effect_name,effect_value,n_reference,n_comparison,notes
instance,scp42,Shapiro-Wilk,ABLATION_IID|IID|V3-ELIT,N/A,0.4640354261319804,1.5589828392633934e-09,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp42,Shapiro-Wilk,BGWO|REFERENCE|V3-ELIT,N/A,0.6277790209414459,1.1712052357305086e-07,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp42,Shapiro-Wilk,BPSO|REFERENCE|V3-ELIT,N/A,0.17561244145371915,4.635930626866146e-12,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp42,Shapiro-Wilk,BPWO|PWO|S2-ELIT,N/A,0.5233692130394831,6.64966552053089e-09,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp42,Shapiro-Wilk,BPWO|PWO|V3-ELIT,N/A,0.6682808598063463,4.0863111036231403e-07,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp42,Kruskal-Wallis,ALL,ALL,78.11629426938313,4.364686782484221e-16,N/A,0.05,True,N/A,N/A,N/A,N/A,Contraste global entre configuraciones estocásticas.
instance,scp42,Mann-Whitney U,BPWO|PWO|V3-ELIT,ABLATION_IID|IID|V3-ELIT,449.5,0.6047243125266539,1.0,0.05,False,Cliff delta,-0.06451612903225806,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp42,Mann-Whitney U,BPWO|PWO|V3-ELIT,BGWO|REFERENCE|V3-ELIT,473.0,0.911358711104593,1.0,0.05,False,Cliff delta,-0.015608740894901144,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp42,Mann-Whitney U,BPWO|PWO|V3-ELIT,BPSO|REFERENCE|V3-ELIT,45.0,1.715356759636476e-11,6.861427038545904e-11,0.05,True,Cliff delta,-0.9063475546305931,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp42,Mann-Whitney U,BPWO|PWO|V3-ELIT,BPWO|PWO|S2-ELIT,410.5,0.26400742065190375,0.7920222619557112,0.05,False,Cliff delta,-0.14568158168574402,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp52,Shapiro-Wilk,ABLATION_IID|IID|V3-ELIT,N/A,0.8149285521225829,9.877157765784396e-05,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp52,Shapiro-Wilk,BGWO|REFERENCE|V3-ELIT,N/A,0.7927097994162573,3.7940932004090195e-05,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp52,Shapiro-Wilk,BPSO|REFERENCE|V3-ELIT,N/A,0.8088773760893322,7.568889437209136e-05,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp52,Shapiro-Wilk,BPWO|PWO|S2-ELIT,N/A,0.811245347294191,8.395460914037948e-05,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp52,Shapiro-Wilk,BPWO|PWO|V3-ELIT,N/A,0.8284878773408666,0.00018228245559180894,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp52,Kruskal-Wallis,ALL,ALL,26.294123999718508,2.760385751841618e-05,N/A,0.05,True,N/A,N/A,N/A,N/A,Contraste global entre configuraciones estocásticas.
instance,scp52,Mann-Whitney U,BPWO|PWO|V3-ELIT,ABLATION_IID|IID|V3-ELIT,348.0,0.04530843596870212,0.13592530790610635,0.05,False,Cliff delta,-0.2757544224765869,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp52,Mann-Whitney U,BPWO|PWO|V3-ELIT,BGWO|REFERENCE|V3-ELIT,472.0,0.897617761345965,0.897617761345965,0.05,False,Cliff delta,-0.01768990634755463,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp52,Mann-Whitney U,BPWO|PWO|V3-ELIT,BPSO|REFERENCE|V3-ELIT,208.5,3.184245452489608e-05,0.0001273698180995843,0.05,True,Cliff delta,-0.5660770031217481,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp52,Mann-Whitney U,BPWO|PWO|V3-ELIT,BPWO|PWO|S2-ELIT,413.5,0.2898484167962744,0.5796968335925488,0.05,False,Cliff delta,-0.13943808532778357,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp62,Shapiro-Wilk,ABLATION_IID|IID|V3-ELIT,N/A,0.44483513130431446,9.976497258590631e-10,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp62,Shapiro-Wilk,BGWO|REFERENCE|V3-ELIT,N/A,0.601739077214359,5.4817086533536764e-08,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp62,Shapiro-Wilk,BPSO|REFERENCE|V3-ELIT,N/A,0.7137920889778671,1.8689654130445186e-06,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp62,Shapiro-Wilk,BPWO|PWO|S2-ELIT,N/A,0.7994919439659911,5.051092844978005e-05,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp62,Shapiro-Wilk,BPWO|PWO|V3-ELIT,N/A,0.6821218795437411,6.39810954350674e-07,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp62,Kruskal-Wallis,ALL,ALL,22.058616112469952,0.00019510707528300168,N/A,0.05,True,N/A,N/A,N/A,N/A,Contraste global entre configuraciones estocásticas.
instance,scp62,Mann-Whitney U,BPWO|PWO|V3-ELIT,ABLATION_IID|IID|V3-ELIT,620.5,0.0072330742148239225,0.02893229685929569,0.05,True,Cliff delta,0.29136316337148804,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp62,Mann-Whitney U,BPWO|PWO|V3-ELIT,BGWO|REFERENCE|V3-ELIT,535.5,0.3172303653140719,0.43903748532150644,0.05,False,Cliff delta,0.11446409989594172,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp62,Mann-Whitney U,BPWO|PWO|V3-ELIT,BPSO|REFERENCE|V3-ELIT,372.0,0.10173387820548989,0.30520163461646965,0.05,False,Cliff delta,-0.22580645161290322,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp62,Mann-Whitney U,BPWO|PWO|V3-ELIT,BPWO|PWO|S2-ELIT,405.0,0.21951874266075322,0.43903748532150644,0.05,False,Cliff delta,-0.1571279916753382,31,31,Delta negativo favorece a la referencia en un problema de minimización.
instance,scpa2,Shapiro-Wilk,ABLATION_IID|IID|V3-ELIT,N/A,0.4448351313043143,9.976497258590631e-10,N/A,0.05,True,N/A,N/A,31,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
