scope,instance,test,reference,comparison,statistic,p_value,p_value_holm,alpha,reject_null,effect_name,effect_value,n_reference,n_comparison,notes
instance,scp43,Shapiro-Wilk,BPWO_BASE|PWO|V3-ELIT,N/A,1.0,1.0,N/A,0.05,False,N/A,N/A,3,N/A,Muestra constante: la normalidad no es informativa y se registra p=1 para evitar un valor indefinido.
instance,scp43,Shapiro-Wilk,BPWO_DELTA_PROB|PWO|V3-COMP,N/A,0.7997630331753555,0.11393270306373648,N/A,0.05,False,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp43,Shapiro-Wilk,BPWO_DELTA|PWO|V3-COMP,N/A,0.9642857142857144,0.6368868450289701,N/A,0.05,False,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp43,Shapiro-Wilk,BPWO_PROB|PWO|V3-ELIT,N/A,1.0,1.0,N/A,0.05,False,N/A,N/A,3,N/A,Muestra constante: la normalidad no es informativa y se registra p=1 para evitar un valor indefinido.
instance,scp43,Kruskal-Wallis,ALL,ALL,10.44266666666667,0.015154908739075774,N/A,0.05,True,N/A,N/A,N/A,N/A,Contraste global entre configuraciones estocásticas.
instance,scp43,Mann-Whitney U,BPWO_BASE|PWO|V3-ELIT,BPWO_DELTA_PROB|PWO|V3-COMP,0.0,0.06360256962075364,0.19080770886226092,0.05,False,Cliff delta,-1.0,3,3,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp43,Mann-Whitney U,BPWO_BASE|PWO|V3-ELIT,BPWO_DELTA|PWO|V3-COMP,0.0,0.06360256962075364,0.19080770886226092,0.05,False,Cliff delta,-1.0,3,3,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp43,Mann-Whitney U,BPWO_BASE|PWO|V3-ELIT,BPWO_PROB|PWO|V3-ELIT,4.5,1.0,1.0,0.05,False,Cliff delta,0.0,3,3,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp53,Shapiro-Wilk,BPWO_BASE|PWO|V3-ELIT,N/A,0.7500000000000001,1.1102230246251565e-16,N/A,0.05,True,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp53,Shapiro-Wilk,BPWO_DELTA_PROB|PWO|V3-COMP,N/A,0.9932432432432434,0.8428332015350628,N/A,0.05,False,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp53,Shapiro-Wilk,BPWO_DELTA|PWO|V3-COMP,N/A,0.8622448979591839,0.2737736900579404,N/A,0.05,False,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp53,Shapiro-Wilk,BPWO_PROB|PWO|V3-ELIT,N/A,0.7500000000000001,1.1102230246251565e-16,N/A,0.05,True,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp53,Kruskal-Wallis,ALL,ALL,1.4274809160305333,0.6991058833449875,N/A,0.05,False,N/A,N/A,N/A,N/A,Contraste global entre configuraciones estocásticas.
instance,scp53,Mann-Whitney U,BPWO_BASE|PWO|V3-ELIT,BPWO_DELTA_PROB|PWO|V3-COMP,2.5,0.5001842570707944,1.0,0.05,False,Cliff delta,-0.4444444444444444,3,3,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp53,Mann-Whitney U,BPWO_BASE|PWO|V3-ELIT,BPWO_DELTA|PWO|V3-COMP,3.0,0.6428348264908044,1.0,0.05,False,Cliff delta,-0.3333333333333333,3,3,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp53,Mann-Whitney U,BPWO_BASE|PWO|V3-ELIT,BPWO_PROB|PWO|V3-ELIT,4.5,1.0,1.0,0.05,False,Cliff delta,0.0,3,3,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp63,Shapiro-Wilk,BPWO_BASE|PWO|V3-ELIT,N/A,0.7500000000000001,1.1102230246251565e-16,N/A,0.05,True,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp63,Shapiro-Wilk,BPWO_DELTA_PROB|PWO|V3-COMP,N/A,0.9642857142857144,0.6368868450289701,N/A,0.05,False,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp63,Shapiro-Wilk,BPWO_DELTA|PWO|V3-COMP,N/A,0.7500000000000001,1.1102230246251565e-16,N/A,0.05,True,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp63,Shapiro-Wilk,BPWO_PROB|PWO|V3-ELIT,N/A,0.7500000000000001,1.1102230246251565e-16,N/A,0.05,True,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scp63,Kruskal-Wallis,ALL,ALL,1.9043927648578862,0.5924854533922892,N/A,0.05,False,N/A,N/A,N/A,N/A,Contraste global entre configuraciones estocásticas.
instance,scp63,Mann-Whitney U,BPWO_BASE|PWO|V3-ELIT,BPWO_DELTA_PROB|PWO|V3-COMP,3.5,0.8136637157667919,1.0,0.05,False,Cliff delta,-0.2222222222222222,3,3,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp63,Mann-Whitney U,BPWO_BASE|PWO|V3-ELIT,BPWO_DELTA|PWO|V3-COMP,2.0,0.36868826936178156,1.0,0.05,False,Cliff delta,-0.5555555555555556,3,3,Delta negativo favorece a la referencia en un problema de minimización.
instance,scp63,Mann-Whitney U,BPWO_BASE|PWO|V3-ELIT,BPWO_PROB|PWO|V3-ELIT,4.5,1.0,1.0,0.05,False,Cliff delta,0.0,3,3,Delta negativo favorece a la referencia en un problema de minimización.
instance,scpa3,Shapiro-Wilk,BPWO_BASE|PWO|V3-ELIT,N/A,1.0,1.0,N/A,0.05,False,N/A,N/A,3,N/A,Muestra constante: la normalidad no es informativa y se registra p=1 para evitar un valor indefinido.
instance,scpa3,Shapiro-Wilk,BPWO_DELTA_PROB|PWO|V3-COMP,N/A,0.8995016611295682,0.3839171960631388,N/A,0.05,False,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
instance,scpa3,Shapiro-Wilk,BPWO_DELTA|PWO|V3-COMP,N/A,0.7500000000000002,7.771561172376096e-16,N/A,0.05,True,N/A,N/A,3,N/A,Prueba diagnóstica de normalidad; no selecciona por sí sola la prueba principal.
